"Establecimiento";"Pc1_Actitud";"Pc1_Atencion";"Pc1_Atencion_Esperas";"Pc1_Cliente_Habitual";"Pc1_Actitud_Servicio";"Pd1_Asesoramiento_Oferta";"Pd1_Informacion_Completa";"Pd1_Aspectos_Positivos_Negativos";"Pe1_Experiencia_Empleados";"Pe1_Resolver_Consultas";"Pe1_Conocimiento_Gama";"Pe1_Dominio_Resolver_Consultas";"Pe1_Interes_Problemas";"Pe1_Tiempo_Espera_Atencion";"Pe1_Duracion_Fila_Cajas";"Pe1_Rapidez_Resolver_Consultas";"Pe1_N_Empleados_Cajas";"Pe1_Tiempo_Reclamacion";"Pe1_Solucion_Quejas";"Pe1_Sencillez_Tramites";"Pf1_Competitividad_Oferta_Productos";"Pf1_Amplitud_Oferta_Productos";"Pf1_Beneficios_Compra_Habitual";"Pg1_N_Empleados_Adecuado";"Pg1_Cajas_Cerradas";"Pg1_Decoracion_Establecimiento";"Pg1_Iluminacion_Establecimiento";"Pg1_Climatizacion_Establecimiento";"Pg1_Sensacion_Orden_Limpieza";"Pg1_Amplitud_Establecimiento";"Pg1_Marcado_Areas";"Pg1_Facilidad_Identificar_Cadena";"Ph1_Relacion_Calidad_Precio";"Ph1_Satisfaccion_Global";"C1_Edad";"C2_Sexo";"C3_Estado_Civil";"C4_Compra_Media";"C5_Ingr_Mes"
"505";2;10;10;9;1;9;7;9;9;9;9;9;9;8;9;8;9;8;8;8;7;6;6;7;9;8;5;9;9;9;7;8;5;8;7;2;2;1;1;2
"506";3;7;7;9;8;9;9;9;7;8;9;9;10;8;8;7;9;7;NA;NA;NA;9;8;8;8;7;7;8;8;9;9;8;10;9;8;2;2;2;6;2
"507";3;8;7;9;8;7;7;8;8;7;7;8;6;7;7;8;7;7;7;8;8;8;8;7;8;7;7;7;9;9;9;8;7;7;7;1;1;1;3;2
"508";3;7;6;6;9;8;5;7;4;8;9;8;7;7;8;7;9;7;7;6;6;8;7;8;5;5;10;7;9;9;9;9;9;4;3;4;1;2;3;2
"509";3;8;7;7;8;9;9;8;7;8;7;7;6;7;7;9;7;10;8;8;8;7;8;8;8;10;6;9;9;8;7;7;6;8;7;3;2;1;6;2
"510";3;8;7;7;5;8;7;6;6;8;8;7;7;9;9;10;8;7;5;5;5;8;8;9;7;8;4;4;6;8;7;6;3;7;7;2;2;3;6;2
"511";1;9;8;8;9;8;8;8;7;7;8;8;8;9;8;7;8;8;NA;NA;NA;7;8;8;8;8;7;7;8;8;8;7;9;9;9;2;2;3;5;2
"512";3;6;7;9;5;6;10;8;6;7;8;8;9;8;8;9;9;10;8;8;8;8;6;8;9;8;6;7;7;8;9;8;8;9;8;2;1;1;4;2
"513";2;7;7;6;6;6;8;6;8;8;8;7;6;6;3;5;7;4;6;7;5;8;7;9;7;8;7;8;8;8;8;8;8;8;7;2;2;1;2;2
"514";2;7;7;6;6;6;8;6;8;8;8;7;6;6;3;5;7;4;6;7;5;8;7;9;7;8;7;8;8;8;8;8;8;8;7;2;2;1;2;2
"515";1;8;5;4;9;6;7;8;5;7;6;7;6;8;5;4;5;1;5;5;5;6;8;8;5;7;7;9;9;8;8;8;9;5;6;6;2;1;4;2
"516";1;6;6;5;1;5;7;5;4;7;8;9;8;8;5;6;6;4;NA;NA;NA;8;9;8;7;7;5;6;8;8;3;8;10;8;7;2;1;3;4;2
"517";1;7;3;3;1;5;10;8;1;4;4;4;4;7;1;7;3;9;NA;NA;NA;10;10;3;5;7;5;8;8;8;10;3;9;6;6;2;1;1;3;2
"518";3;6;7;5;1;5;6;6;4;7;9;10;8;8;7;4;6;4;NA;NA;NA;8;10;8;5;7;5;6;7;8;6;2;9;9;8;3;1;3;3;2
"519";1;8;8;6;8;7;9;9;7;8;9;9;8;9;9;6;9;8;6;7;7;10;10;10;8;7;9;8;6;8;9;9;8;9;9;1;2;3;2;2
"520";2;8;4;7;8;7;3;5;5;4;6;6;6;5;8;6;6;6;5;6;7;8;8;9;7;6;8;8;8;8;7;7;7;7;7;4;1;2;4;2
"521";3;8;8;6;1;7;7;4;3;7;7;7;7;6;5;5;6;7;NA;NA;NA;9;9;9;8;6;7;7;6;8;8;7;8;9;9;1;2;1;2;2
"522";1;5;5;5;4;6;6;7;7;6;5;6;6;5;4;3;5;2;5;5;3;4;8;5;8;5;9;9;9;8;9;9;8;7;7;1;1;2;6;2
"523";2;8;4;7;8;7;7;10;8;5;6;6;6;5;8;6;6;6;5;6;7;7;8;9;4;5;8;7;8;8;6;7;7;7;7;4;1;2;4;2
"524";1;8;7;8;4;7;6;8;7;7;7;6;6;5;8;8;7;9;7;6;6;6;8;6;7;5;5;5;6;8;8;9;7;7;7;2;2;1;2;2
"525";1;5;5;5;4;6;6;7;7;7;5;6;6;5;4;3;5;2;5;5;3;5;8;5;5;4;9;9;9;8;10;9;8;7;7;1;1;2;6;2
"526";3;6;7;6;8;7;8;6;6;7;7;6;7;7;8;8;8;8;NA;NA;NA;9;9;9;7;NA;6;8;7;7;8;7;7;8;7;2;2;1;3;2
"527";3;7;8;8;7;8;6;7;6;6;NA;6;NA;7;8;7;7;8;7;8;7;9;10;10;NA;8;7;NA;8;7;6;6;6;8;9;4;1;2;7;2
"528";3;7;7;8;5;8;8;7;6;7;7;8;8;8;7;7;NA;NA;NA;NA;NA;9;9;7;8;8;8;8;8;7;7;8;9;7;9;2;2;3;5;2
"529";3;6;5;6;2;6;6;7;3;NA;NA;NA;NA;NA;7;7;NA;8;NA;NA;NA;8;8;8;7;8;8;8;8;7;9;9;9;9;9;3;1;1;2;2
"530";2;10;1;10;2;7;9;9;7;7;10;7;8;8;10;7;8;7;8;8;8;6;5;6;7;8;4;5;6;7;5;1;10;6;6;1;2;1;1;2
"531";3;7;8;8;6;7;5;6;NA;6;8;7;6;9;8;7;7;5;8;7;7;7;7;6;6;6;8;8;8;7;9;8;8;9;9;2;2;3;3;2
"532";2;7;8;6;5;6;7;7;6;5;7;6;6;5;6;5;6;4;5;6;6;7;5;6;5;5;4;8;8;7;4;6;9;8;8;2;1;3;4;2
"533";1;7;4;2;6;6;8;6;5;5;4;5;4;6;6;8;7;5;NA;NA;NA;6;8;8;7;5;6;7;7;7;8;7;6;5;6;1;1;3;3;2
"534";2;7;3;4;5;5;4;3;3;5;4;3;5;7;3;3;6;2;NA;NA;NA;4;4;4;5;2;2;4;5;7;5;5;6;7;6;1;2;1;2;2
"535";2;10;1;10;2;7;10;10;5;10;10;7;8;8;10;7;8;7;8;8;8;7;5;6;8;1;4;6;6;7;4;1;10;6;6;1;2;1;1;2
"536";1;6;6;8;1;7;9;7;5;8;7;7;6;7;4;3;6;8;4;5;5;10;10;8;7;7;8;8;9;6;9;7;10;7;7;2;1;3;4;2
"537";2;7;5;5;3;7;4;7;7;6;8;6;6;8;8;7;8;7;NA;NA;NA;9;9;8;7;6;7;8;8;6;8;8;9;7;7;2;2;1;3;2
"538";3;7;7;7;6;6;8;8;5;7;8;7;7;6;6;2;6;4;5;5;5;9;9;8;6;6;5;6;6;6;7;7;9;8;8;1;1;1;2;2
"539";1;6;7;5;5;8;6;7;6;7;7;8;6;7;7;4;4;4;5;5;6;5;8;6;4;5;4;4;6;6;7;6;5;7;6;2;1;1;4;2
"540";3;7;6;6;5;5;5;7;7;6;8;9;6;5;7;8;7;7;7;7;4;8;8;8;7;3;4;4;5;6;6;8;8;7;6;2;1;1;6;2
"541";3;7;6;6;5;5;5;7;7;7;8;9;6;5;7;8;7;7;7;7;4;7;8;8;7;3;4;4;5;6;7;8;8;7;6;2;1;1;6;2
"542";1;8;8;8;8;8;8;8;8;8;7;7;7;7;4;4;4;4;3;8;5;8;8;8;8;8;5;9;9;5;10;10;10;7;6;4;2;2;7;2
"543";3;7;6;6;6;5;4;5;7;7;6;8;8;6;4;7;8;8;6;6;6;6;4;8;7;8;7;3;5;5;4;6;6;8;8;2;1;1;6;2
"544";3;7;6;6;6;5;4;5;7;5;6;8;8;6;4;7;8;8;6;6;6;5;4;8;7;8;7;4;5;5;5;6;6;8;8;2;1;1;6;2
"545";3;7;5;7;5;5;5;5;5;8;8;10;7;6;8;7;7;7;6;7;4;10;9;7;7;8;5;8;4;5;7;5;9;8;7;2;2;1;4;2
"546";1;4;3;3;2;5;8;6;6;8;8;7;4;7;6;4;5;7;4;6;4;7;8;8;7;8;8;8;8;5;9;8;10;7;8;1;1;1;1;2
"547";1;10;9;9;5;8;7;6;6;9;8;7;7;7;7;4;5;2;6;6;5;5;5;5;4;5;5;5;5;5;5;4;2;4;5;3;1;1;4;2
"548";3;7;5;7;5;5;5;6;8;7;8;10;7;6;8;7;7;7;6;7;4;9;9;7;7;4;5;5;4;5;6;5;9;8;7;2;2;1;4;2
"549";2;5;4;4;6;5;3;4;4;3;4;5;4;4;5;4;4;4;NA;NA;NA;5;5;5;5;3;4;5;5;5;5;6;6;5;5;4;2;2;4;2
"550";2;6;4;5;NA;4;3;5;NA;4;4;5;6;5;3;5;5;3;NA;NA;NA;4;3;4;4;8;5;5;5;4;7;5;8;8;6;1;2;3;2;2
"551";2;6;4;5;NA;4;3;5;NA;4;4;5;6;5;3;5;5;3;NA;NA;NA;4;3;4;4;8;5;5;5;4;7;5;8;8;6;1;2;3;2;2
"552";3;8;7;5;6;5;6;6;6;4;4;6;6;5;4;4;4;6;5;5;4;6;5;5;4;5;5;5;5;4;5;3;7;8;5;2;1;2;3;2
"553";1;4;4;5;4;5;5;4;7;4;4;3;5;5;3;4;5;4;3;4;4;7;6;7;3;4;3;4;4;4;4;3;8;3;6;1;1;1;2;2
"554";2;4;5;5;6;5;3;4;2;8;4;8;5;5;5;5;4;4;5;8;8;4;3;4;4;4;3;3;3;3;3;4;4;7;4;1;2;1;1;2
"555";1;3;3;3;3;3;3;3;3;3;2;2;2;2;3;5;3;3;2;3;3;3;3;3;2;2;3;3;3;3;4;4;3;3;3;3;2;2;8;2
"556";3;9;1;9;5;9;7;7;7;7;9;7;10;10;7;7;10;7;NA;NA;NA;9;4;10;7;7;9;9;1;1;6;4;10;9;9;1;2;1;2;2
"557";2;4;3;9;5;5;9;9;8;7;5;5;5;5;4;1;4;1;5;5;5;9;4;8;2;4;1;4;3;1;6;3;5;5;5;4;2;1;1;2
"558";2;4;3;9;5;5;4;8;3;5;5;5;5;5;4;1;4;1;5;5;5;8;4;8;3;3;1;5;3;1;5;3;5;5;5;4;2;1;1;2
"559";3;7;7;6;7;8;7;6;7;8;9;10;8;9;8;7;7;7;7;8;9;9;9;7;8;7;6;8;9;9;9;8;8;9;7;1;1;1;2;2
"560";3;7;4;6;2;5;5;3;1;5;9;7;7;8;5;5;6;8;5;5;5;8;8;8;9;8;6;9;8;8;9;8;9;8;8;2;1;3;4;2
"561";3;6;6;5;3;7;7;6;5;7;6;7;8;6;7;6;6;7;7;8;5;6;5;6;6;5;7;9;8;8;8;7;7;7;7;2;1;3;3;2
"562";2;7;7;6;6;6;6;5;6;7;8;8;8;8;7;7;7;6;7;6;7;7;7;7;6;6;7;7;7;5;5;7;8;7;7;2;1;1;2;2
"563";2;6;5;5;6;6;7;7;7;5;6;8;8;5;4;3;5;3;3;3;3;8;4;6;3;2;1;2;3;2;2;4;4;8;4;4;2;2;3;2
"564";2;1;1;2;2;3;4;7;4;4;2;3;2;1;2;2;2;1;2;3;3;7;5;6;5;4;5;8;8;8;6;6;8;7;5;4;1;2;5;2
"565";1;10;9;10;10;10;9;8;8;8;9;9;9;9;8;8;8;9;7;7;8;8;7;8;7;8;7;8;7;9;7;8;7;8;8;2;2;1;2;2
"566";1;6;8;8;3;8;8;9;7;9;9;9;8;9;7;5;7;6;7;8;6;8;9;7;7;7;9;9;8;9;9;8;8;7;8;1;2;3;4;2
"567";1;5;6;7;5;6;3;5;4;6;6;6;5;6;7;6;6;3;4;6;5;4;3;5;5;4;5;6;6;5;4;4;7;6;5;1;1;3;2;2
"568";3;8;9;9;5;9;8;8;2;7;9;9;9;9;7;3;6;6;NA;NA;NA;6;6;2;8;4;8;8;8;8;8;4;8;7;6;1;2;1;3;2
"569";3;8;4;7;5;5;6;6;2;6;7;7;6;7;8;10;8;10;NA;NA;NA;5;4;4;10;7;2;8;8;8;10;10;9;10;8;1;2;3;3;2
"570";3;5;5;5;1;6;4;4;1;5;6;6;5;5;3;3;4;6;4;6;5;4;4;3;4;4;2;6;5;5;6;5;4;5;3;5;2;4;5;2
"571";2;4;6;2;1;6;2;5;1;6;2;6;2;1;5;6;2;1;2;6;5;2;1;8;6;2;1;8;1;4;5;4;9;4;4;2;1;3;4;2
"572";2;5;5;2;1;5;1;6;1;1;2;1;7;9;3;6;5;4;6;2;2;5;5;3;5;2;1;6;3;6;1;6;2;5;6;2;1;1;2;2
"573";2;4;4;4;5;4;6;6;5;5;5;5;5;5;4;6;5;3;4;5;6;4;5;7;3;2;7;7;7;8;7;5;6;6;5;1;1;3;1;2
"574";3;9;9;8;2;8;4;6;1;9;7;6;7;8;7;6;8;6;5;5;5;7;8;9;4;4;3;7;6;8;6;2;9;1;1;3;2;2;5;2
"575";3;2;3;5;8;8;6;3;5;8;9;8;6;7;8;6;5;5;8;2;2;6;5;4;4;9;9;7;7;5;9;4;7;5;6;5;1;2;5;2
"576";2;9;6;8;8;6;5;6;4;7;9;2;8;8;6;5;7;8;7;5;7;5;8;6;6;6;5;7;6;6;8;4;7;8;6;5;1;2;6;2
"577";3;7;7;6;7;8;8;7;5;7;8;6;7;7;6;5;6;7;6;5;5;8;7;6;6;6;5;7;6;6;5;5;5;8;8;2;2;1;3;2
"578";1;8;8;8;9;8;7;8;8;7;8;7;7;8;7;8;7;8;7;8;8;7;7;8;5;5;6;7;7;8;8;7;7;5;7;2;2;1;4;2
"579";1;8;8;9;9;8;8;8;8;7;7;7;7;7;7;8;8;8;7;7;7;8;8;8;8;4;7;7;6;7;8;6;7;8;8;3;1;4;5;2
"580";3;5;5;4;6;5;6;5;5;5;4;6;5;5;3;4;5;5;6;3;4;6;5;7;6;4;6;7;7;4;4;7;2;6;6;3;2;1;3;2
"581";2;4;4;4;NA;4;NA;7;NA;6;4;7;5;6;6;2;4;3;NA;NA;NA;3;3;6;3;3;2;6;6;4;4;2;5;5;5;4;1;2;2;2
"582";2;5;4;6;5;5;4;4;4;5;5;4;5;4;3;3;4;5;NA;NA;NA;5;6;6;6;4;5;5;5;3;6;5;6;5;6;1;1;1;2;2
"583";2;4;4;4;5;4;6;5;5;5;4;7;5;3;2;3;3;1;2;2;2;4;7;5;2;5;3;4;4;2;3;2;2;4;5;2;1;3;3;2
"584";3;7;6;8;3;8;8;8;7;8;7;8;9;6;6;7;7;5;8;8;8;6;8;9;9;8;7;8;8;9;7;6;7;8;9;2;1;1;8;2
"585";1;6;5;4;2;5;7;6;4;7;6;7;7;6;8;8;8;7;8;NA;NA;7;8;8;7;7;7;8;8;8;8;9;8;7;7;1;2;3;2;2
"586";1;7;8;7;4;7;6;8;4;8;8;7;8;9;7;9;7;5;6;7;8;7;6;7;4;5;8;8;8;7;8;8;7;7;7;3;2;1;3;2
"587";3;6;7;8;7;8;8;8;9;8;7;8;6;7;7;7;8;8;9;8;NA;10;10;10;6;5;NA;4;5;6;5;6;6;9;10;5;2;2;7;2
"588";2;8;6;5;3;6;5;6;7;6;5;6;7;7;8;8;8;9;7;8;10;8;7;7;8;7;3;7;6;5;6;4;8;6;7;2;1;3;3;2
"589";2;4;4;5;5;5;5;4;1;6;6;6;6;4;7;6;5;6;4;4;4;4;4;5;6;6;6;7;5;5;5;4;4;4;3;3;2;4;8;2
"590";2;6;6;6;NA;5;6;7;3;5;6;8;6;5;5;2;6;1;NA;NA;NA;8;6;NA;7;3;3;4;4;3;5;4;8;7;6;1;1;1;2;2
"591";1;7;8;7;3;7;5;8;6;6;7;8;7;7;7;6;8;7;8;6;8;7;7;4;5;4;10;9;8;7;8;8;9;8;8;1;2;1;4;2
"592";3;6;6;8;8;8;6;5;5;7;6;5;8;5;5;6;8;5;NA;NA;NA;8;4;8;7;7;6;7;7;6;4;5;8;6;7;3;1;4;2;2
"593";2;5;5;4;6;3;4;7;5;4;4;9;7;4;10;2;2;8;3;4;3;3;1;3;3;3;1;8;10;4;4;1;9;3;9;2;1;2;6;2
"594";2;5;7;5;7;4;6;7;6;6;2;4;4;10;6;9;5;7;6;5;7;8;7;8;8;6;7;9;7;6;8;7;7;8;5;2;1;3;5;2
"595";3;4;7;5;5;6;8;7;7;5;6;7;8;5;5;6;6;7;5;5;3;7;7;8;5;5;6;7;6;6;8;6;6;8;7;1;1;2;1;2
"596";1;8;9;NA;6;8;9;5;6;8;7;8;5;5;2;2;2;2;9;9;9;7;8;8;3;6;7;5;8;8;5;6;4;5;7;6;2;5;6;2
"597";1;7;7;8;7;8;7;7;4;6;7;8;7;6;7;9;7;7;6;6;5;8;7;8;7;8;8;7;7;8;8;8;8;7;9;2;2;3;5;2
"598";3;9;9;8;NA;9;8;8;NA;8;9;NA;NA;9;3;2;8;10;7;9;5;NA;8;NA;9;10;7;8;8;5;5;4;7;9;10;6;1;2;5;2
"599";2;3;2;2;6;4;5;3;5;5;6;5;4;3;7;8;4;2;4;6;6;3;2;4;5;6;3;7;7;5;3;4;5;6;5;2;1;3;4;2
"600";2;6;5;6;6;5;8;9;10;8;8;4;5;7;5;6;5;6;NA;NA;NA;6;6;5;5;8;5;5;5;2;5;1;1;5;6;5;2;5;3;2
"601";2;6;5;6;6;5;5;7;1;6;8;4;5;7;5;6;5;6;NA;NA;NA;5;6;5;5;6;5;4;5;2;4;1;1;5;6;5;2;5;3;2
"602";2;4;3;4;3;4;3;3;3;3;3;3;3;5;3;3;4;4;3;3;3;1;2;1;5;5;2;2;2;2;2;2;6;5;5;2;2;1;NA;2
"603";1;9;9;5;9;9;5;5;NA;8;9;2;3;2;8;9;2;1;NA;NA;NA;6;7;5;1;1;NA;8;5;2;9;5;7;5;3;5;2;2;3;2
"604";3;8;9;9;9;9;8;9;3;8;9;9;9;10;8;7;9;7;8;7;7;8;8;8;8;7;8;8;8;9;8;7;6;8;8;4;2;1;3;2
"605";1;6;6;6;5;6;6;6;5;6;7;7;6;6;6;6;5;5;NA;NA;NA;5;5;5;5;6;5;6;6;6;5;6;7;6;6;4;2;1;2;2
"606";1;5;5;5;2;5;8;6;2;5;7;7;8;6;2;5;5;8;3;5;5;5;9;8;9;5;7;8;6;7;8;5;8;8;5;3;2;3;4;2
"607";3;7;7;7;5;7;7;7;5;7;7;7;7;7;7;7;7;8;7;7;7;8;9;8;7;7;7;7;7;8;9;7;9;9;9;2;1;4;3;3
"608";3;10;8;7;8;8;9;8;6;8;9;9;9;10;7;7;8;9;6;6;6;4;5;7;7;8;7;7;5;7;8;3;7;7;8;6;2;2;7;3
"609";1;8;7;7;6;8;7;8;7;8;6;8;6;8;6;5;5;4;8;4;4;7;8;7;6;6;6;5;6;8;8;6;9;7;5;6;1;5;2;3
"610";1;6;5;7;5;5;5;6;7;8;8;9;8;8;8;5;5;5;8;7;8;6;4;8;6;8;6;6;8;8;9;8;8;8;8;5;2;5;2;3
"611";3;7;8;5;6;7;5;6;5;4;4;5;7;5;7;5;7;8;8;7;7;8;7;7;7;6;7;7;8;7;6;6;8;7;7;2;2;1;2;3
"612";3;8;8;7;6;7;7;8;8;9;9;8;7;9;7;8;9;9;8;8;8;10;8;10;7;7;8;8;10;10;10;9;9;9;10;6;2;2;2;3
"613";3;7;6;7;5;6;8;6;7;6;6;6;6;5;7;8;6;8;NA;NA;NA;8;8;6;8;7;8;7;7;8;6;5;7;7;7;5;2;2;3;3
"614";2;2;2;6;5;7;5;4;3;5;5;5;6;6;3;3;4;4;NA;NA;NA;5;4;5;3;2;2;4;4;6;5;5;7;8;5;2;2;2;1;3
"615";2;2;2;2;2;3;3;4;2;4;6;5;7;7;3;2;5;2;2;2;3;3;3;1;4;3;5;5;5;4;4;5;7;3;5;5;1;2;2;3
"616";3;2;2;2;2;3;5;4;2;4;6;9;7;7;3;2;5;2;2;2;3;3;3;1;4;3;5;5;5;4;7;5;7;3;4;3;1;2;2;3
"617";2;5;5;4;6;5;3;2;2;5;6;6;5;5;3;2;2;2;1;3;1;5;5;6;3;3;2;2;2;1;2;4;4;3;5;2;2;3;3;3
"618";2;2;2;2;7;7;5;6;3;6;4;7;3;5;3;2;6;1;NA;NA;NA;2;2;7;2;2;3;5;5;2;2;2;5;6;3;4;2;2;1;3
"619";1;6;6;6;6;6;5;4;5;4;6;5;6;7;7;7;8;8;8;7;7;6;6;6;6;7;4;5;5;7;8;5;7;8;8;6;1;5;4;3
"620";3;10;7;NA;5;8;10;8;9;10;10;7;9;10;5;5;7;7;8;7;8;8;8;7;8;9;9;10;10;10;10;8;8;8;8;5;1;2;3;3
"621";1;8;8;8;5;8;7;7;6;8;8;7;7;9;9;9;9;8;8;8;8;9;9;7;8;9;9;9;9;9;9;9;9;9;9;5;2;2;5;3
"622";3;6;5;7;6;7;7;8;5;6;8;9;9;8;10;8;7;7;NA;NA;NA;8;10;7;7;5;7;8;8;9;9;8;10;9;10;4;2;1;8;3
"623";1;8;7;7;9;8;9;9;8;9;10;10;9;10;8;8;10;4;10;10;10;10;10;8;5;4;8;9;9;9;10;8;10;7;9;6;2;2;5;3
"624";1;5;2;5;1;5;10;10;NA;6;8;7;5;5;3;9;7;9;NA;NA;NA;8;9;5;7;9;8;8;8;8;10;3;7;6;9;4;2;2;5;3
"625";3;8;8;9;4;8;7;8;8;8;9;8;7;8;8;7;8;8;NA;NA;NA;4;4;7;8;9;8;7;8;8;8;8;8;9;8;6;2;5;1;3
"626";2;5;6;5;7;6;5;6;8;9;6;5;7;8;6;5;7;8;6;7;6;8;7;NA;7;8;5;4;7;8;6;5;6;7;5;4;2;1;3;3
"627";3;6;6;5;3;6;9;6;NA;6;6;6;6;6;7;5;6;8;NA;NA;NA;10;10;8;7;6;7;7;7;8;7;4;6;9;9;4;2;2;4;3
"628";1;6;5;6;2;5;8;7;7;6;4;4;3;NA;4;3;5;1;NA;NA;NA;8;9;7;5;4;7;8;8;8;9;7;10;8;8;2;2;1;5;3
"629";3;7;6;6;6;7;6;8;6;8;8;7;7;8;5;7;7;6;9;9;9;NA;NA;NA;8;9;8;7;7;7;8;8;8;8;7;4;1;1;2;3
"630";3;8;8;7;8;8;7;8;8;9;8;9;8;8;8;8;9;8;NA;NA;NA;8;7;7;7;7;6;7;8;7;8;7;8;7;8;6;2;2;5;3
"631";1;7;7;6;5;7;7;6;5;7;6;7;6;6;7;6;6;7;6;5;5;7;6;7;5;6;6;7;5;7;6;6;7;7;7;2;2;3;8;3
"632";3;3;4;4;3;3;6;7;7;6;6;5;7;6;6;6;7;6;8;8;7;8;7;7;7;8;8;6;5;6;7;8;7;7;6;5;2;5;6;3
"633";3;6;6;6;3;5;5;6;3;6;6;6;6;6;5;4;5;4;NA;NA;NA;4;3;4;5;5;5;6;6;6;8;5;5;6;6;5;2;5;3;3
"634";2;7;5;5;8;5;3;3;2;6;6;5;5;6;3;6;5;2;5;5;5;3;3;8;5;5;4;6;6;6;6;6;7;8;6;2;2;1;1;3
"635";1;1;1;2;1;3;5;6;4;6;7;7;5;7;2;4;4;8;6;7;3;10;10;3;4;10;7;8;8;4;9;3;8;8;8;5;2;2;6;3
"636";1;7;6;4;4;5;6;6;5;4;4;5;6;3;3;4;3;3;5;5;5;3;8;8;2;2;8;6;2;2;2;1;4;3;3;2;2;2;1;3
"637";3;8;8;9;10;10;9;9;9;8;8;9;9;9;9;8;9;9;9;9;9;9;9;8;9;8;8;9;9;9;9;8;9;9;9;5;2;4;7;3
"638";3;7;9;NA;8;9;7;6;7;6;5;6;8;4;6;8;7;9;7;8;7;9;7;8;7;9;NA;8;NA;9;8;7;6;4;6;6;2;5;NA;3
"639";2;5;4;5;7;5;5;5;4;5;3;4;4;3;5;3;4;3;4;4;4;5;5;6;3;3;3;5;5;4;4;5;6;8;5;5;1;5;2;3
"640";2;4;2;2;2;5;4;6;4;6;5;5;6;4;5;4;3;2;4;6;5;5;4;6;3;4;5;5;7;5;6;5;3;5;3;2;2;3;4;3
"641";2;5;3;3;4;3;4;4;4;4;4;4;5;5;4;3;3;3;NA;NA;NA;5;4;5;2;2;2;3;3;3;4;3;4;5;5;4;2;4;2;3
"642";1;7;5;3;2;8;6;6;6;8;5;4;4;6;4;3;5;4;5;4;6;4;8;6;7;4;7;9;7;8;9;9;8;9;7;2;2;2;2;3
"643";1;6;6;5;5;6;7;6;6;5;5;5;5;4;3;4;3;4;5;4;4;5;5;6;4;4;5;5;5;5;7;6;6;4;5;5;2;4;5;3
"644";1;7;6;6;6;7;8;7;5;7;6;7;6;7;7;9;8;8;7;8;6;8;8;7;6;8;7;7;8;8;9;8;7;9;8;2;2;1;3;3
"645";1;7;6;6;6;7;8;6;5;7;6;7;6;7;7;9;8;8;7;8;6;8;8;7;6;8;7;7;8;8;9;8;7;9;8;3;2;1;3;3
"646";1;7;7;7;4;7;5;6;6;6;7;6;7;6;4;5;4;6;6;8;8;5;5;8;7;6;8;6;6;6;7;8;8;8;6;5;2;2;3;3
"647";2;5;6;4;8;6;4;6;2;6;5;5;4;6;3;5;1;5;5;9;2;5;1;2;6;4;8;8;7;6;5;7;4;5;6;4;1;1;7;3
"648";2;4;5;5;6;8;2;6;1;6;10;10;3;9;1;9;10;10;9;9;8;9;3;9;6;10;8;7;10;4;2;9;10;10;1;3;1;3;2;3
"649";2;7;6;7;8;8;7;8;8;7;7;8;8;7;7;5;5;3;4;5;5;7;7;8;3;2;6;7;8;8;3;7;7;8;9;4;2;2;3;3
"650";2;7;3;5;3;6;4;9;4;8;8;7;6;6;7;6;8;3;1;3;7;3;7;7;7;1;4;6;7;6;3;7;8;5;5;1;2;2;3;3
"651";2;9;5;5;6;8;6;6;6;10;10;3;7;7;8;7;9;2;4;5;8;6;5;3;3;6;6;9;8;8;6;8;9;5;7;2;1;4;4;3
"652";1;8;6;4;4;6;6;7;5;6;5;5;4;6;6;4;5;4;5;5;5;6;7;7;6;5;5;5;5;5;7;7;7;6;6;5;2;2;5;3
"653";1;5;8;6;NA;5;7;6;6;8;5;5;6;5;3;7;7;6;3;6;7;6;6;5;3;4;3;7;5;5;7;7;7;6;6;1;2;1;2;3
"654";1;6;5;5;6;5;7;4;8;5;8;4;4;4;6;7;8;5;4;3;4;6;5;6;7;4;6;6;7;5;6;6;8;7;6;4;1;2;6;3
"655";1;5;6;5;4;4;5;5;4;7;8;6;7;5;5;5;7;4;4;4;3;6;7;6;4;7;7;7;7;5;6;6;4;7;6;2;2;1;4;3
"656";3;9;9;10;8;8;9;9;6;9;9;8;9;9;10;9;9;10;8;10;10;7;6;9;9;10;7;8;8;10;9;6;7;10;10;3;2;2;6;3
"657";3;8;8;8;8;8;7;7;6;10;10;8;10;9;10;9;10;8;9;9;9;10;10;10;10;9;6;8;9;10;10;10;10;10;9;3;2;2;2;3
"658";3;9;9;10;8;8;6;7;6;4;9;8;9;9;10;9;9;10;8;10;10;6;6;9;5;5;7;6;8;10;10;6;7;10;10;3;2;2;6;3
"659";1;4;4;4;1;5;4;5;2;6;6;7;8;8;6;5;5;7;NA;NA;NA;9;8;6;7;7;9;8;8;9;10;9;10;6;7;3;1;3;4;3
"660";2;9;7;8;9;9;9;7;9;8;9;10;8;6;6;7;9;NA;NA;NA;9;10;7;9;8;8;9;8;7;8;9;10;9;9;7;5;2;3;5;3
"661";1;9;7;8;9;9;9;7;9;8;9;10;8;6;6;7;9;NA;NA;NA;9;10;7;9;8;8;9;8;7;8;9;10;9;9;7;2;2;3;5;3
"662";3;8;9;7;7;7;6;8;6;8;7;6;5;5;6;5;4;9;NA;NA;NA;10;10;10;6;7;6;7;9;8;9;7;9;9;9;6;2;4;5;3
